variable,type,definition,category
county,string,5-digit FIPS code,A. Unit identifiers
year,int,Calendar year 2010-2024,A. Unit identifiers
total_postings,int,Total unique job postings in county-year,B. Labor demand: posting and skill-mention totals
n_has_skill,int,Postings with at least one skill listed,B. Labor demand: posting and skill-mention totals
mention_specialized,int,Total mentions of specialized skills,B. Labor demand: posting and skill-mention totals
mention_software,int,Total mentions of software skills,B. Labor demand: posting and skill-mention totals
mention_common,int,Total mentions of common (soft) skills,B. Labor demand: posting and skill-mention totals
n_corporate,int,"All private-sector postings in the county-year, regardless of NAICS-4 classification. Includes postings with a recognized non-university/non-lab/non-government NAICS-4, postings with NAICS-4 = 9999 (unclassified), and postings from staffing firms.",C. Labor demand: posting counts by employer type
n_university,int,Postings from NAICS 6112-6117 (universities/colleges),C. Labor demand: posting counts by employer type
n_federal_lab,int,"Postings from NAICS 5417, 9271 (scientific R&D, space research)",C. Labor demand: posting counts by employer type
n_government,int,Postings from NAICS 92xx (all government),C. Labor demand: posting counts by employer type
n_remote,int,Postings with remote_type=1 (remote),D. Nature of work: modality and internships
n_hybrid,int,Postings with remote_type=2 (hybrid),D. Nature of work: modality and internships
n_onsite,int,Postings with remote_type=0 (on-site),D. Nature of work: modality and internships
share_remote,"float [0,1]",Fraction of postings that are remote,D. Nature of work: modality and internships
share_hybrid,"float [0,1]",Fraction of postings that are hybrid,D. Nature of work: modality and internships
share_onsite,"float [0,1]",Fraction of postings that are on-site,D. Nature of work: modality and internships
n_internship,int,Postings flagged as internships,D. Nature of work: modality and internships
share_specialized,"float [0,1]",Fraction of total skill mentions that are specialized,E. Skill demand: composition by skill type
share_software,"float [0,1]",Fraction of total skill mentions that are software,E. Skill demand: composition by skill type
share_common,"float [0,1]",Fraction of total skill mentions that are common (soft),E. Skill demand: composition by skill type
mean_skills_per_posting,float,Average skill mentions per posting in county-year,E. Skill demand: composition by skill type
pct_has_skill,"float [0,100]",Percent of postings with at least one skill,E. Skill demand: composition by skill type
n_distinct_skills,int,Count of unique skills demanded in county-year,"F. Skill demand: diversity, concentration, and complexity"
n_rca_skills,int,Count of skills with Revealed Comparative Advantage > 1,"F. Skill demand: diversity, concentration, and complexity"
avg_ubiquity,float,Mean ubiquity of county's RCA>1 skills (# counties sharing the avg specialization),"F. Skill demand: diversity, concentration, and complexity"
skill_hhi,"float (0,1]",Herfindahl-Hirschman concentration over skill frequencies,"F. Skill demand: diversity, concentration, and complexity"
skill_entropy,float (bits),Shannon entropy of skill distribution (effective # skills),"F. Skill demand: diversity, concentration, and complexity"
eci,standardized float,"Economic Complexity Index (Hidalgo-Hausmann method of reflections, standardized)","F. Skill demand: diversity, concentration, and complexity"
fitness,float (non-negative),Tacchella fitness-complexity score (non-linear alternative to ECI),"F. Skill demand: diversity, concentration, and complexity"
skill_density,"float [0,1]",Balland (2019) avg relatedness of RCA>1 skills to non-RCA skills,G. Skill relatedness and network position
skill_coherence,"float [0,1]",Neffke (2011) avg pairwise relatedness among RCA>1 skills,G. Skill relatedness and network position
avg_centrality,"float [0,1]",Mean network centrality of county's RCA>1 skills in skill-space network,G. Skill relatedness and network position
churning_entries,int,Skills that gained RCA>1 this year vs. prior year,H. Skill dynamics: year-over-year
churning_exits,int,Skills that lost RCA>1 this year vs. prior year,H. Skill dynamics: year-over-year
churning_net,int,churning_entries - churning_exits,H. Skill dynamics: year-over-year
skill_cosine_distance,"float [0,2]","1 - cos(skill freq vector t-1, t); structural change in demand profile",H. Skill dynamics: year-over-year
corp_n_rca_skills,int,Count of skills with corporate-specific RCA>1,I. Entity-type specialization breadth
univ_n_rca_skills,int,Count of skills with university-specific RCA>1,I. Entity-type specialization breadth
fede_n_rca_skills,int,Count of skills with federal-lab-specific RCA>1,I. Entity-type specialization breadth
gove_n_rca_skills,int,Count of skills with government-specific RCA>1,I. Entity-type specialization breadth
cosine_univ_corp,"float [0,1]","Cosine similarity between university-sector and corporate (private-sector non-univ/lab/gov/staffing)-sector skill-frequency vectors over all skills (specialized + software + common); range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
cosine_univ_corp_specialized,"float [0,1]","Cosine similarity between university-sector and corporate (private-sector non-univ/lab/gov/staffing)-sector skill-frequency vectors over specialized skills only; range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
cosine_univ_corp_software,"float [0,1]","Cosine similarity between university-sector and corporate (private-sector non-univ/lab/gov/staffing)-sector skill-frequency vectors over software skills only; range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
cosine_univ_corp_common,"float [0,1]","Cosine similarity between university-sector and corporate (private-sector non-univ/lab/gov/staffing)-sector skill-frequency vectors over common-soft skills only; range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
jaccard_univ_corp,"float [0,1]","Jaccard index over the university-RCA>1 and corporate (private-sector non-univ/lab/gov/staffing)-RCA>1 skill sets restricted to all skills (specialized + software + common): |intersection| / |union|; range [0,1]; higher = greater overlap in what each entity type specializes in.",J. Employer-pair skill similarity
jaccard_univ_corp_specialized,"float [0,1]","Jaccard index over the university-RCA>1 and corporate (private-sector non-univ/lab/gov/staffing)-RCA>1 skill sets restricted to specialized skills only: |intersection| / |union|; range [0,1]; higher = greater overlap in what each entity type specializes in.",J. Employer-pair skill similarity
jaccard_univ_corp_software,"float [0,1]","Jaccard index over the university-RCA>1 and corporate (private-sector non-univ/lab/gov/staffing)-RCA>1 skill sets restricted to software skills only: |intersection| / |union|; range [0,1]; higher = greater overlap in what each entity type specializes in.",J. Employer-pair skill similarity
jaccard_univ_corp_common,"float [0,1]","Jaccard index over the university-RCA>1 and corporate (private-sector non-univ/lab/gov/staffing)-RCA>1 skill sets restricted to common-soft skills only: |intersection| / |union|; range [0,1]; higher = greater overlap in what each entity type specializes in.",J. Employer-pair skill similarity
hidalgo_univ_corp,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between university-RCA>1 and corporate (private-sector non-univ/lab/gov/staffing)-RCA>1 skills over all skills (specialized + software + common), using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
hidalgo_univ_corp_specialized,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between university-RCA>1 and corporate (private-sector non-univ/lab/gov/staffing)-RCA>1 skills over specialized skills only, using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
hidalgo_univ_corp_software,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between university-RCA>1 and corporate (private-sector non-univ/lab/gov/staffing)-RCA>1 skills over software skills only, using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
hidalgo_univ_corp_common,"float [0,1]","Hidalgo (2007) technological proximity: average pairwise skill-skill relatedness between university-RCA>1 and corporate (private-sector non-univ/lab/gov/staffing)-RCA>1 skills over common-soft skills only, using the national skill-space co-occurrence matrix; range [0,1]; captures nearby skills, not only exact overlap.",J. Employer-pair skill similarity
rca_overlap_univ_corp,float (non-negative),Weighted RCA overlap: average corporate (private-sector non-univ/lab/gov/staffing)-sector RCA value across the university-sector RCA>1 skill set over all skills (specialized + software + common); higher values indicate the university sector demands skills that the corporate (private-sector non-univ/lab/gov/staffing) sector already specializes in.,J. Employer-pair skill similarity
rca_overlap_univ_corp_specialized,float (non-negative),Weighted RCA overlap: average corporate (private-sector non-univ/lab/gov/staffing)-sector RCA value across the university-sector RCA>1 skill set over specialized skills only; higher values indicate the university sector demands skills that the corporate (private-sector non-univ/lab/gov/staffing) sector already specializes in.,J. Employer-pair skill similarity
rca_overlap_univ_corp_software,float (non-negative),Weighted RCA overlap: average corporate (private-sector non-univ/lab/gov/staffing)-sector RCA value across the university-sector RCA>1 skill set over software skills only; higher values indicate the university sector demands skills that the corporate (private-sector non-univ/lab/gov/staffing) sector already specializes in.,J. Employer-pair skill similarity
rca_overlap_univ_corp_common,float (non-negative),Weighted RCA overlap: average corporate (private-sector non-univ/lab/gov/staffing)-sector RCA value across the university-sector RCA>1 skill set over common-soft skills only; higher values indicate the university sector demands skills that the corporate (private-sector non-univ/lab/gov/staffing) sector already specializes in.,J. Employer-pair skill similarity
gap_count_univ_corp,int,Directional skill-gap count: number of university-RCA>1 skills for which the corporate (private-sector non-univ/lab/gov/staffing) sector does NOT have RCA>1 over all skills (specialized + software + common); an inventory of the university sector's specializations that the corporate (private-sector non-univ/lab/gov/staffing) sector lacks.,J. Employer-pair skill similarity
gap_count_univ_corp_specialized,int,Directional skill-gap count: number of university-RCA>1 skills for which the corporate (private-sector non-univ/lab/gov/staffing) sector does NOT have RCA>1 over specialized skills only; an inventory of the university sector's specializations that the corporate (private-sector non-univ/lab/gov/staffing) sector lacks.,J. Employer-pair skill similarity
gap_count_univ_corp_software,int,Directional skill-gap count: number of university-RCA>1 skills for which the corporate (private-sector non-univ/lab/gov/staffing) sector does NOT have RCA>1 over software skills only; an inventory of the university sector's specializations that the corporate (private-sector non-univ/lab/gov/staffing) sector lacks.,J. Employer-pair skill similarity
gap_count_univ_corp_common,int,Directional skill-gap count: number of university-RCA>1 skills for which the corporate (private-sector non-univ/lab/gov/staffing) sector does NOT have RCA>1 over common-soft skills only; an inventory of the university sector's specializations that the corporate (private-sector non-univ/lab/gov/staffing) sector lacks.,J. Employer-pair skill similarity
gap_relatedness_univ_corp,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between the gap skills (defined in gap_count) and the corporate (private-sector non-univ/lab/gov/staffing)-sector's RCA>1 portfolio over all skills (specialized + software + common); range [0,1]; how close the university-only skills are to the corporate (private-sector non-univ/lab/gov/staffing) sector's current strengths.",J. Employer-pair skill similarity
gap_relatedness_univ_corp_specialized,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between the gap skills (defined in gap_count) and the corporate (private-sector non-univ/lab/gov/staffing)-sector's RCA>1 portfolio over specialized skills only; range [0,1]; how close the university-only skills are to the corporate (private-sector non-univ/lab/gov/staffing) sector's current strengths.",J. Employer-pair skill similarity
gap_relatedness_univ_corp_software,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between the gap skills (defined in gap_count) and the corporate (private-sector non-univ/lab/gov/staffing)-sector's RCA>1 portfolio over software skills only; range [0,1]; how close the university-only skills are to the corporate (private-sector non-univ/lab/gov/staffing) sector's current strengths.",J. Employer-pair skill similarity
gap_relatedness_univ_corp_common,"float [0,1]","Directional skill-gap relatedness: average pairwise relatedness between the gap skills (defined in gap_count) and the corporate (private-sector non-univ/lab/gov/staffing)-sector's RCA>1 portfolio over common-soft skills only; range [0,1]; how close the university-only skills are to the corporate (private-sector non-univ/lab/gov/staffing) sector's current strengths.",J. Employer-pair skill similarity
cosine_fede_corp,"float [0,1]","Cosine similarity between federal/public lab-sector and corporate (private-sector non-univ/lab/gov/staffing)-sector skill-frequency vectors over all skills (specialized + software + common); range [0,1]; higher = more aligned skill demand profiles.",J. Employer-pair skill similarity
