year,n_counties,total_postings,median_postings_per_county,median_skill_entropy,median_n_rca_skills,median_eci,median_skill_density,median_churning_net,median_share_remote,median_share_software
2010,3186,12462905,418.5,8.224074985625458,501.0,-0.32123662531375885,0.01745863351970911,,0.010494099076776241,0.03713699801913882
2011,3187,15263965,427.0,8.537884515652749,582.0,-0.3252461850643158,0.0203266479074955,59.0,0.007333333333333333,0.042471404462778924
2012,3191,15073013,469.0,8.48339249950568,591.0,-0.3330984115600586,0.02080443687736988,14.0,0.005355330903077906,0.04251386321626617
2013,3194,20800506,759.0,8.734110456358668,780.5,-0.35027648508548737,0.027646989561617374,148.0,0.007717770909634962,0.037740703771759795
2014,3193,22310497,939.0,8.750299818784175,837.0,-0.35395485162734985,0.02874971553683281,65.0,0.005571030640668524,0.03486060606060606
2015,3194,24928104,946.0,8.846304028630929,863.0,-0.3514894098043442,0.028941781260073185,18.0,0.01014481446683908,0.034717569317221655
2016,3194,26381768,1105.0,8.93175194961858,933.5,-0.3519613742828369,0.03171101398766041,46.0,0.022266977997559202,0.03607629843731887
2017,3194,26242211,1167.0,8.856689782121393,898.0,-0.3488418757915497,0.03018264938145876,-18.0,0.00811285968888333,0.03211142064328365
2018,3194,33183104,1091.5,8.90183732887099,914.5,-0.3453488349914551,0.030091612599790096,36.0,0.0068441104217845695,0.034372255555954634
2019,3194,34478638,859.5,8.905417280332685,934.5,-0.34627392888069153,0.03139298036694527,11.0,0.008630462211402994,0.03736560797154077
2020,3194,34720255,1052.5,8.893295347143294,956.0,-0.33961348235607147,0.032346365973353386,9.0,0.01581653074498424,0.033313603956591636
2021,3194,43699319,1348.0,9.16243915959642,1174.5,-0.3477630168199539,0.04037684574723244,200.0,0.02947607113020647,0.03756361798322109
2022,3194,48581082,1465.0,9.26708002178617,1253.5,-0.3443116396665573,0.04381519556045532,62.0,0.02510460251046025,0.03909085549130791
2023,3194,38650106,1468.5,9.215942869708694,1206.5,-0.34393878281116486,0.041960712522268295,-48.0,0.015452141429787888,0.034924928533973346
2024,3194,36867154,1393.5,9.237718289150331,1199.0,-0.33878399431705475,0.04166663438081741,-9.0,0.017436513552588295,0.034380709682246754
